Gene,Value
ATAD3A,0.464215362
VWA1,0.534894454
MRPL20,1.537507223
CCNL2,1.336626284
AURKAIP1,0.593137144
MXRA8,2.333465105
UBE2J2,1.156847565
SDF4,1.085229581
AGRN,0.720807928
ISG15,16.96539754
NOC2L,0.479612092
FAM133B,0.973269153
GATAD1,0.450312264
KRIT1,0.777657222
AKAP9,0.581311379
CYP51,0.339603855
SRI,1.671150577
ABCB1A,0.324129261
TMEM243,0.425103353
DMTF1,0.312514342
SEMA3D,0.581000054
SEMA3A,1.381859102
TMEM60,0.354809067
RSBN1L,0.566227392
PTPN12,1.293459014
FGL2,0.787171309
PMPCB,0.601190482
DNAJC2,0.616090895
PSMC2,1.744702387
5031425E22RIK,0.580111548
KMT2E,2.120135641
SRPK2,0.951089045
TOMM7,2.016741572
NOS3,0.843150722
ABCF2,0.617336433
NUB1,0.85798328
RHEB,6.3059756
KMT2C,0.373067205
INSIG1,0.347619318
RBM33,0.460042167
NOM1,0.446907229
DNAJB6,6.261115152
TYMS,0.300977913
HADHA,0.548809669
HADHB,0.855822218
OST4,1.358065392
ATRAID,1.135932039
SNX17,0.593906921
ZFP513,0.426840087
PPM1G,0.839806838
NRBP1,0.684874371
SLC4A1AP,0.326978836
MRPL33,1.346994663
BABAM2,0.501903764
FOSL2,1.885932723
PPP1CB,1.676218822
YES1,1.8561495
PISD,0.389928324
YWHAH,2.006314411
CTBP1,0.996030408
SLBP,0.453286126
GM1673,0.445325232
MXD4,0.460992071
RNF4,0.87229847
ADD1,0.357448697
NOP14,1.557496715
LRPAP1,0.586389479
GRPEL1,1.336938215
D5ERTD579E,0.348877363
BLOC1S4,0.798669981
MRFAP1,3.626685778
NSG1,1.834474431
LYAR,0.929968525
TMEM128,1.275833159
WDR1,0.649306047
HS3ST1,1.156775822
RAB28,0.781263346
BOD1L,0.726564512
FBXL5,0.506370631
LDB2,0.716860661
LAP3,0.476984056
MED28,1.474389852
DHX15,1.094191015
SOD3,0.348560288
RBPJ,0.441739236
STIM2,0.700203864
RELL1,1.117863094
PGM1,2.382401766
TBC1D1,0.7836012
KLF3,1.076877614
RPL9,37.10627634
UGDH,0.378944096
SMIM14,0.908162286
UBE2K,1.390298455
APBB2,1.069211299
LIMCH1,0.545822381
TMEM33,2.332166032
FRYL,0.340449843
OCIAD1,0.639111817
SGCB,0.549392122
FIP1L1,0.7672195
CHIC2,4.621977255
KDR,3.017173544
TMEM165,0.368435862
CLOCK,0.415927181
PPAT,0.399407255
PAICS,0.563831063
SRP72,1.010486062
REST,1.251620547
POLR2B,0.357961875
IGFBP7,10.96802983
YTHDC1,1.40798858
UTP3,1.09691091
MOB1B,0.394054861
COX18,0.370186938
ANKRD17,1.064171305
PF4,0.332667734
CXCL1,3.145010183
RCHY1,0.840531115
G3BP2,0.883047832
USO1,0.380992205
SDAD1,0.645404434
CXCL9,0.785086189
CXCL10,13.15208779
NUP54,0.698565162
SCARB2,0.704583479
11-Sep,0.809272701
CCNI,0.500814706
CNOT6L,0.362724025
ANXA3,2.156354759
BMP2K,2.011535709
RASGEF1B,1.624439151
HNRNPD,2.493219107
HNRNPDL,2.753755342
SEC31A,0.783095868
5430416N02RIK,0.798761432
COPS4,0.679074856
MRPS18C,0.521778157
AFF1,0.342765836
HSD17B11,0.355536778
NUDT9,0.443502208
SPARCL1,2.15922705
SPP1,0.32133998
PKD2,0.473560996
BC005561,0.772236003
GBP9,1.82940752
GBP4,5.23480051
LRRC8C,0.663492773
ZFP326,1.023116293
ZFP644,1.019037594
TGFBR3,0.566457781
EVI5,0.522005046
RPL5,6.042492493
TMED5,2.491721285
DR1,0.365175876
ATP5K,0.733303254
CRLF2,1.123935543
NOC4L,0.468199709
EP400,0.484875044
PUS1,0.585767274
TTC28,0.929929855
PITPNB,1.604303581
TPST2,2.13623936
2900026A02RIK,0.369562369
ISCU,0.946606323
CORO1C,0.564700986
SSH1,0.531821853
KCTD10,0.44337516
GIT2,0.930783334
ANKRD13A,0.490714505
OASL2,1.551402245
OASL1,0.512912181
SPPL3,0.645908419
MLEC,0.306682105
POP5,0.534635003
RNF10,1.463518678
COQ5,0.425426225
DYNLL1,7.164438601
SRSF9,1.44026874
TRIAP1,0.434535513
COX6A1,2.056356916
PXN,2.553858077
RPLP0,35.18310562
RAB35,0.865767113
HSPB8,0.822497964
SUDS3,0.361269778
PEBP1,2.226937625
WSB2,1.481074
MED13L,0.793505842
DDX54,0.978778124
PTPN11,0.806004477
RPL6,23.25827125
TRAFD1,0.884003418
NAA25,0.89660782
ERP29,0.931894931
ALDH2,0.625617824
BRAP,0.318838413
ATXN2,0.306228331
SH2B3,0.750587498
PPP1CC,4.798763475
VPS29,1.907916062
ARPC3,8.609990345
ANAPC7,0.473059215
ATP2A2,1.755753633
ANAPC5,1.007204362
ORAI1,1.113040987
PSMD9,0.491867308
CLIP1,0.459263057
RSRC2,1.962045547
DENR,0.977344434
VPS37B,0.526725726
ARL6IP4,0.377440495
PITPNM2,0.418508994
CDK2AP1,0.402921547
SBNO1,0.809352552
KMT5A,0.312394913
TMED2,4.182043298
ZFP664,0.405898219
NCOR2,1.373484745
UBC,13.4140692
RAN,8.306831178
SFSWAP,0.678578709
MRPS17,0.625845521
PSPH,0.757465646
CHCHD2,16.61575443
TMEM248,0.41790346
SBDS,1.673710876
AUTS2,0.315612874
EIF4H,1.779063541
DNAJC30,0.490881477
BCL7B,1.195054634
BAZ1B,0.410197036
POR,0.533329863
MDH2,1.372934754
HSPB1,3.559972116
YWHAG,1.384099149
POLR2J,1.012043484
PRKRIP1,0.427434799
CUX1,0.484921999
FIS1,2.168210267
ZNHIT1,0.384992659
PLOD3,0.545227254
AP1S1,0.460995936
SERPINE1,12.89052507
TRIM56,1.240011386
SRRT,0.601714076
EPHB4,0.387155625
POP7,0.771606101
GNB2,4.046216736
COPS6,0.664990044
MCM7,0.34127452
ZFP68,0.456429989
PDGFA,14.36155622
COX19,0.507098438
3110082I17RIK,0.305131366
GPR146,1.510635395
ZFAND2A,0.835333898
MAFK,1.562401119
EIF3B,1.1474446
GNA12,0.657464777
WIPI2,0.55833035
ACTB,28.27419962
FSCN1,1.353637645
RNF216,0.439603793
KDELR2,1.185513215
RAC1,4.892478421
FAM220A,0.543754412
CYTH3,0.433076298
AIMP2,0.379739428
CCZ1,0.540695399
BRI3,3.919548365
SMURF1,0.397159263
ARPC1A,1.565294579
ARPC1B,11.63947644
PDAP1,0.984915558
BUD31,1.506083851
ATP5J2,2.782157179
ZFP655,0.862288028
RNF6,0.327432247
CDK8,0.39174306
USP12,0.394832629
RPL21,16.17922478
POLR1D,3.886050347
PAN3,0.360349182
FLT1,4.083761156
POMP,3.565083969
SLC7A1,1.749619406
UBL3,1.217132868
HMGB1,3.401597221
HSPH1,0.407113133
N4BP2L2,1.000249005
PDS5B,0.444596494
SAMD9L,4.199387918
TFPI2,11.93850342
GNG11,28.0542615
BET1,0.418641508
PON2,1.110160959
SEM1,5.603588093
ASNS,2.424032978
NDUFA4,3.968291133
PHF14,0.453088754
TMEM168,0.365533152
MDFIC,1.46495757
TES,0.97542166
CAV2,0.725289412
CAV1,2.841696591
MET,0.347088449
CAPZA2,3.3661547
CTTNBP2,0.368142355
LSM8,0.578978764
TSPAN12,0.953376294
ING3,0.544168418
CPED1,0.345194188
NDUFA5,1.228395112
WASL,0.801392361
ZFP800,0.527753311
ARF5,4.222317325
RBM28,0.473521851
HILPDA,1.434499918
CALU,1.024149709
ATP6V1F,2.967588812
TNPO3,0.373248447
AHCYL2,0.305022995
UBE2H,0.440727219
LNCPINT,0.391642636
MKLN1,0.840022872
PODXL,1.376425627
CHCHD3,0.521114661
AKR1B3,0.61730336
BPGM,0.604547893
CALD1,2.363094401
TMEM140,5.014957873
CNOT4,0.870072382
1810058I24RIK,1.244550976
MTPN,1.187036207
PTN,1.101662439
CREB3L2,0.654635033
TRIM24,0.404180992
ZC3HAV1,1.576601333
UBN2,0.562724921
LUC7L2,2.337083522
PARP12,0.830375682
KDM7A,0.698348225
NDUFB2,0.913607294
MRPS33,0.79463665
SSBP1,0.322834435
ZYX,0.525437386
CUL1,1.66792771
PDIA4,0.419918496
ZFP746,0.301681788
GIMAP9,0.717977465
GIMAP4,0.689075318
GIMAP6,3.577866618
GIMAP1,0.566812603
GIMAP5,0.718109605
TMEM176B,1.909372165
TMEM176A,1.853198914
MALSU1,0.873630838
TRA2A,2.015379296
MPP6,0.708622174
CYCS,3.615313602
HNRNPA2B1,3.075063868
CBX3,0.561182959
SKAP2,0.338639258
HIBADH,0.313884975
TAX1BP1,3.082341031
CHN2,0.350512767
GARS,2.997356933
AQP1,1.183318982
LSM5,0.58024524
AVL9,0.39675294
KBTBD2,0.823001634
FKBP9,0.51417771
NT5C3,0.320826453
HERC6,1.039847707
ABCG2,2.51030601
TIGD2,0.354747379
MMRN1,0.75703413
SMARCAD1,0.491576655
GNG12,2.189190352
GADD45A,4.276852918
SERBP1,6.027910281
RPIA,0.35143764
CHMP3,0.774867392
KDM3A,0.576904499
REEP1,0.474377022
MRPL35,0.630683347
IMMT,0.794732191
VAMP5,0.317594815
VAMP8,0.919515429
MAT2A,4.300588139
CAPG,0.713230601
TGOLN1,2.89754977
KCMF1,1.784611254
TMSB10,17.30972916
SUCLG1,0.433161002
POLE4,0.84638138
MTHFD2,3.590318586
MOB1A,0.787385149
BOLA3,0.598609118
TET3,0.49044893
TEX261,0.553147706
ZFP638,0.774217863
CCT7,1.968701718
DUSP11,1.498292794
SNRPG,1.162345812
TIA1,0.323353314
PCBP1,3.847643622
MXD1,0.438224674
SNRNP27,0.566435727
NFU1,0.333703065
CNBP,6.627270815
COPG1,0.321767103
RAB7,2.838435202
RPN1,0.402549303
RUVBL1,0.716443861
SEC61A1,0.552564481
MGLL,0.37017647
CHCHD4,0.496347348
LSM3,0.552111705
SLC6A6,0.349473622
CCDC174,0.555387768
RBSN,0.355450618
ADAMTS9,2.405034118
MAGI1,0.35161185
TMF1,0.680716179
ARL6IP5,4.05451798
FRMD4B,0.79425946
FOXP1,4.083215674
EIF4E3,0.407727078
RYBP,0.634872114
PPP4R2,1.399010266
TRNT1,0.613943292
CRBN,0.307570359
ITPR1,0.427187353
BHLHE40,1.408306962
ARL8B,0.742473144
LMCD1,0.326641506
GT(ROSA)26SOR,0.736671689
SETD5,0.810124076
CAMK1,0.315560401
ARPC4,0.711651354
JAGN1,0.640900382
EMC3,1.213558047
BRK1,1.280880601
SEC13,0.431922734
VGLL4,0.638891198
RAF1,0.466973036
RPL32,28.83672315
IFT122,0.386741976
PLXND1,1.543727132
TMCC1,0.858471977
8430408G22RIK,0.516235212
HNRNPF,8.161448066
CSGALNACT2,0.303378788
ADIPOR2,0.858608612
WNT5B,0.662696697
ERC1,0.347320745
WNK1,2.474811976
KDM5A,0.488507839
IL17RA,1.1932347
ATP6V1E1,1.210019602
MICAL3,1.334525753
USP18,0.488634544
M6PR,0.477315042
NECAP1,0.352346486
EMG1,1.500132887
PHB2,1.26774795
TPI1,0.500648101
PTMS,4.55684656
MLF2,0.553551888
COPS7A,0.303807099
CHD4,0.959989692
GAPDH,7.93553853
MRPL51,0.825287388
TAPBPL,0.372520776
LTBR,0.469314755
TNFRSF1A,2.946332021
CD9,13.18949189
VWF,1.132609062
CCND2,0.922204545
TSPAN9,0.618122763
TEAD4,0.564849014
FKBP4,0.36648621
CLEC2D,12.46436171
GABARAPL1,1.184915793
MAGOHB,0.342499264
YBX3,4.904641913
SMIM10L1,2.04664188
ETV6,0.618541963
LRP6,0.309398078
CDKN1B,0.467209513
APOLD1,1.352760923
EMP1,13.84986505
H2AFJ,0.865010677
WBP11,0.622382384
MGP,22.24875761
ARHGDIB,0.425897095
STRAP,2.492912361
MGST1,0.410672679
AEBP2,0.397476794
SLCO1A4,0.800114228
GOLT1B,0.684661392
KCNJ8,0.775561928
CMAS,0.65145787
ETNK1,2.034053821
KRAS,1.819888707
INTS13,0.357499834
FGFR1OP2,1.017275379
MED21,0.8878953
PPFIBP1,4.620145707
PTHLH,0.518281867
ERGIC2,0.974181056
DENND5B,0.723981664
2810474O19RIK,0.503387608
MYADM,0.676853897
NDUFA3,0.516514739
PRPF31,0.364229822
TSEN34,0.403323765
RPS9,30.96571822
LENG8,0.320128804
PPP1R12C,0.606038876
TMEM238,0.36573127
RPL28,21.71115732
UBE2S,3.028699646
U2AF2,0.989027768
EPN1,0.303543933
ZFP787,0.497428851
CLCN4,0.431438957
RPS5,29.72878031
TRIM28,0.464840599
CHMP2A,2.251034733
UBE2M,0.935886374
SELENOW,3.099513393
NOP53,1.054461342
EHD2,0.89048402
NAPA,1.061983395
CCDC9,0.384602075
SAE1,0.432926674
TMEM160,0.895153085
AP2S1,0.756777836
SLC1A5,0.472374456
STRN4,0.360323571
PRKD2,0.380832681
CALM3,0.827720396
PPP5C,0.323769772
DMWD,0.364270943
SNRPD2,1.844713001
VASP,0.678085192
FOSB,1.451579824
ERCC1,0.928900298
CD3EAP,0.65566923
TRAPPC6A,0.441785144
PPP1R37,0.36614615
GEMIN7,0.964367187
RELB,1.286934397
CLPTM1,0.569354471
APOE,2.490596286
TOMM40,0.652321079
BCAM,0.648254471
BCL3,0.754183511
PVR,0.576983021
PLAUR,6.38132275
GM9844,0.378092386
RPS19,32.10901892
ARHGEF1,0.574791454
RABAC1,1.880981661
B9D2,0.429252632
TGFB1,4.473690151
HNRNPUL1,0.492556881
EGLN2,0.495682459
SNRPA,0.663524649
ITPKC,0.544910054
LTBP4,2.044642333
BLVRB,0.713645972
SERTAD1,1.00395008
PSMC4,1.595470887
FBL,1.494758159
EID2,0.510492552
TIMM50,0.405509576
SUPT5,0.328040808
RPS16,24.1293312
ZFP36,3.301256563
MED29,0.501478815
SAMD4B,0.887271524
MRPS12,0.318730802
NFKBIB,0.722198501
SIRT2,0.453883297
HNRNPL,0.689180475
ECH1,0.464228959
ACTN4,1.912416693
EIF3K,2.796575741
PSMD8,1.81621797
YIF1B,0.569633968
2200002D01RIK,0.810299245
SPINT2,0.311653051
CAPNS1,2.111945861
TBCB,0.828137909
POLR2I,0.676796254
PSENEN,1.655264159
COX6B1,3.875111627
RBM42,0.659037212
TMEM147,0.381232757
USF2,0.324489225
FXYD5,4.956278995
SCN1B,0.801862432
GRAMD1A,0.600314818
WTIP,0.711851286
UBA2,0.760086489
GPI1,1.106644922
4931406P16RIK,1.815613889
LSM14A,0.756559039
CEBPG,2.516931334
PDCD5,1.987221078
ZFP507,0.348541165
PLEKHF1,0.3635809
ETFB,0.588714569
KLK8,0.472304457
2410002F23RIK,0.404159784
EMC10,1.27947588
NR1H2,1.148827144
VRK3,0.394714652
NUP62,0.585207923
PTOV1,0.53529198
AP2A1,0.3564501
PRMT1,1.14680538
RRAS,1.438726278
PRRG2,0.44316804
RCN3,0.619132588
FCGRT,2.910986081
RPS11,31.03570766
RPL13A,0.718889225
SNRNP70,1.308648466
RUVBL2,0.363197742
FTL1,30.35158071
BAX,1.458478685
NUCB1,0.678209871
PPP1R15A,2.5786514
RASIP1,3.286721739
RPL18,24.68182759
CYTH2,1.123599988
GRWD1,0.647120848
KDELR1,0.66237162
EMP3,0.82652075
GTF2H1,0.35649316
LDHA,4.343862022
TSG101,0.711578178
SPTY2D1,0.503501521
NAV2,0.747338693
CYFIP1,0.726707872
NIPA2,0.654336989
HERC2,0.504078203
UBE3A,1.18188375
KLF13,1.833250115
MPHOSPH10,1.419543303
NSMCE3,1.121883624
TJP1,1.3022723
PCSK6,0.337051301
SNRPA1,1.002230909
SELENOS,0.471412887
LRRK1,0.35925602
MEF2A,5.034793054
IGF1R,0.317964338
ARRDC4,0.808173951
NR2F2,0.841496129
CHD2,1.099848999
FAM174B,0.481121913
SLCO3A1,1.099330271
AKAP13,4.788760792
MRPL46,0.485824113
MRPS11,0.416030322
AEN,0.760933006
ISG20,0.938792424
MFGE8,1.445302164
ABHD2,0.509133759
FURIN,1.05479065
CRTC3,0.47913612
IQGAP1,2.262902122
SEC11A,0.874915585
PDE8A,0.663336228
RPS17,5.493867176
WHAMM,0.449504888
FAM103A1,0.709195549
BTBD1,0.553414217
TM6SF1,0.359914208
HDGFL3,0.349963572
TLNRD1,0.647233199
MESD,0.474640068
ZFAND6,0.503645569
FZD4,0.436601339
PRSS23,3.008043024
EED,0.322596898
PICALM,1.925397591
CREBZF,0.457131804
PCF11,0.394677981
PRCP,0.802127065
FAM181B,0.307579641
GAB2,0.307441453
NDUFC2,1.6105936
RSF1,0.450722514
CLNS1A,0.647187106
LRRC32,0.9037238
THAP12,0.488916122
UVRAG,0.363224548
SERPINH1,2.417202498
RPS3,29.96448236
ARRB1,0.399407997
SPCS2,1.437049643
PPME1,0.58418547
UCP2,0.321150324
MRPL48,0.38550984
RAB6A,0.627373033
FCHSD2,0.344365658
LAMTOR1,0.773088405
IL18BP,0.409435149
NUP98,0.748223445
STIM1,0.35103712
HBB-BS,1.002006205
TRIM12C,0.317792781
TRIM30A,0.839901862
CAVIN3,5.762749542
TIMM10B,0.371008806
TAF10,1.001166063
MRPL17,1.25930489
GM4070,0.414105589
EIF3F,4.094556157
LMO1,0.781167866
RPL27A,30.01989525
TMEM9B,0.401389302
DENND5A,0.517119403
TMEM41B,0.366265159
IPO7,1.534576573
SWAP70,1.635957567
SBF2,0.423553367
ADM,0.371459062
EIF4G2,7.090595738
GALNT18,0.608656899
USP47,0.511025904
PARVA,0.462143498
TEAD1,0.623032854
FAR1,0.458263417
COPB1,1.1736191
PSMA1,1.343441246
1110004F10RIK,1.427830136
RPS13,24.49840622
PIK3C2A,0.460340757
RPS15A,29.30803933
ARL6IP1,1.806431789
SMG1,0.689320413
GDE1,0.458028861
KNOP1,0.539438171
THUMPD1,0.51835187
UQCRC2,1.05423875
METTL9,1.277766422
UBFD1,0.422852028
NDUFAB1,1.359867711
RBBP6,1.685180585
TNRC6A,0.840682121
ARHGAP17,0.410333326
NSMCE1,0.585591597
IL4RA,1.233978432
ATXN2L,1.131331033
EIF3C,4.591264782
NUPR1,60.39413833
SGF29,0.327342984
BOLA2,0.937364784
MAPK3,0.643641845
YPEL3,0.516191992
PPP4C,0.616022909
ALDOA,3.820632037
CDIPT,0.434175423
MVP,0.670186859
MAZ,0.320517331
BCL7C,0.766032494
STX4A,0.390778162
VKORC1,0.417808251
FUS,3.342220665
TGFB1I1,0.379627497
TIAL1,1.009919117
BAG3,1.023382494
MCMBP,0.456491863
NSMCE4A,1.63487907
PLEKHA1,0.353295165
BUB3,1.187106978
OAT,0.635758936
ZRANB1,0.509644803
CTBP2,0.334966416
BCCIP,0.666400593
DOCK1,0.436032182
PTPRE,1.134295031
GLRX3,1.526800036
PPP2R2D,0.537478035
ZFP511,0.453416199
ECHS1,0.353029556
URAH,0.317846666
BET1L,0.473584604
RIC8A,0.405808734
PSMD13,0.772481658
IFITM2,8.753907012
IFITM3,65.19909799
RNH1,1.723051279
HRAS,0.796710334
IRF7,1.994355843
TALDO1,0.631685246
RPLP2,11.04868452
PNPLA2,0.765983007
CD151,1.910811765
POLR2L,0.525436079
TSPAN4,1.439144045
TOLLIP,0.512750524
MOB2,0.784782398
CTSD,3.204768242
MRPL23,0.649625442
CD81,3.908794648
TSSC4,0.304705543
KCNQ1OT1,1.667515639
CDKN1C,0.399747376
NAP1L4,0.898194911
CARS,1.162071898
TNFRSF23,0.529288068
PPFIA1,0.420595732
CCND1,0.74704227
AKAP12,7.76306271
ZBTB2,0.318278333
MYCT1,0.774003017
CNKSR3,0.319970382
PCMT1,0.992761855
LATS1,0.39170068
KATNA1,0.371030396
GINM1,0.885892731
PPIL4,0.96475692
TAB2,0.517641601
SASH1,4.651424022
STXBP5,0.529574558
UTRN,1.842143186
STX11,0.985712736
SF3B5,0.720292167
LTV1,0.850080055
PHACTR2,0.602174697
AIG1,1.232175484
HIVEP2,1.280108454
VTA1,0.651487385
CITED2,0.506326542
ABRACL,0.958423134
TNFAIP3,1.221755532
IFNGR1,0.79336145
BCLAF1,1.059204395
HBS1L,0.615486923
SGK1,3.156163947
TBPL1,0.629120158
RPS12,16.65133741
STX7,0.56125968
EPB41L2,0.870791004
ARHGAP18,0.314404149
PTPRK,1.275340841
RNF146,0.863799421
TRMT11,0.304726025
ZUFSP,0.510522764
RWDD1,1.519067688
TSPYL1,0.363190254
HDAC2,0.373758031
MARCKS,2.539869194
LAMA4,1.660955495
FYN,1.773352948
RPF2,0.371569723
CDC40,0.648614708
CD164,0.670908374
SNX3,4.455510181
SEC63,0.744081387
ASCC3,1.582956082
NUS1,1.200582526
ASF1A,0.515628871
MAN1A,2.583298526
GJA1,1.620258491
SERINC1,2.328972115
SMPDL3A,0.53877186
LIMS1,1.628482075
RANBP2,1.199421524
10-Sep,0.328862494
MICU1,0.320476973
DDIT4,4.402320109
ANAPC16,1.158527793
PSAP,1.762803569
SGPL1,0.345998088
PPA1,1.408639396
SAR1A,2.228756804
HK1,1.634420525
VPS26A,0.692739431
SRGN,2.296360966
KIF1BP,0.307159553
DDX21,1.82060061
DDX50,1.544058169
CCAR1,0.963237605
HNRNPH3,0.72909133
SIRT1,0.631959905
REEP3,2.47890108
JMJD1C,1.847997632
NRBF2,0.448746657
ARID5B,1.680903028
TFAM,0.662747709
UBE2D1,0.33596286
CISD1,0.598931778
ZWINT,0.793671577
BCR,2.269783456
SNRPD3,1.830319663
MIF,1.718066844
COL18A1,0.371509669
POFUT2,0.535828563
ADARB1,0.906534024
PTTG1IP,2.408880064
SUMO3,0.648972827
UBE2G2,0.616057663
PFKL,0.368433203
AGPAT3,0.514686814
RRP1,1.150931729
CSTB,3.269605137
TPGS1,0.710048205
CDC34,0.557962915
BSG,4.100764226
RNF126,0.59248764
PTBP1,1.953451582
WDR18,0.31563235
TMEM259,0.326771019
POLR2E,0.68190795
GPX4,4.401158108
SBNO2,3.101513558
STK11,0.516430252
ATP5D,2.078730662
MIDN,0.568051602
CIRBP,0.414868509
NDUFS7,0.707992544
DAZAP1,0.802100549
RPS15,3.624536034
2310011J03RIK,0.507940567
MBD3,0.546897839
UQCR11,1.720147303
REXO1,0.458858291
ABHD17A,0.316939062
CSNK1G2,0.311563941
PLEKHJ1,0.376268478
SF3A2,0.396014102
OAZ1,10.58004913
LSM7,0.888007105
TIMM13,1.082707578
GADD45B,2.874418117
SGTA,0.785171064
MAP2K2,1.139575823
ZBTB7A,0.550807652
EEF2,6.050833482
MRPL54,1.048308832
PIP5K1C,0.504250674
HMG20B,0.78963055
DOHH,0.67836502
NFIC,0.452023779
GNA11,0.522418027
AES,1.512306694
NFYB,0.646615672
TXNRD1,2.063814371
NUAK1,0.45658291
CKAP4,1.7236723
TCP11L2,0.676790217
TMEM263,0.30295061
RTCB,0.962606636
TIMP3,15.14595792
HSP90B1,2.959262478
ARL1,2.382919617
UHRF1BP1L,0.311526939
APAF1,0.426002532
SLC25A3,8.600444518
TMPO,0.369843551
CDK17,0.857756859
ELK3,1.683978373
SNRPF,1.977382997
METAP2,1.740339324
NDUFA12,1.048462185
SOCS2,1.470028315
MRPL42,0.321445113
UBE2N,2.60921231
NUDT4,1.115957936
EEA1,1.829051038
BTG1,8.154137811
ATP2B1,2.213907235
DUSP6,2.970644112
KITL,0.558290626
NTS,0.394467789
RASSF9,0.638067206
CCDC59,1.10863
PPP1R12A,0.44885128
CSRP2,1.969439653
ZDHHC17,0.310191661
OSBPL8,0.376983271
NAP1L1,1.214236885
PHLDA1,1.710490502
KRR1,0.362176415
ATXN7L3B,2.620131408
TBC1D15,1.173180304
RAB21,1.84678282
PTPRB,2.951495201
CNOT2,0.55253917
CCT2,2.839527696
YEATS4,0.98375259
CPSF6,0.506294064
MDM2,0.524589819
RAP1B,5.720673419
CAND1,0.323854764
TMBIM4,1.599933437
LLPH,2.035167175
TBK1,0.55747759
XPOT,0.657797124
TMEM5,0.362895438
MON2,0.326268631
USP15,0.438774428
CTDSP2,0.425407593
TSFM,0.31479147
CDK4,1.065077012
TSPAN31,0.666624633
OS9,0.305376706
DTX3,0.324231117
DCTN2,0.5761929
DDIT3,0.930881837
R3HDM2,0.471708034
SHMT2,0.535537137
NACA,13.70826425
PTGES3,3.019621655
ATP5B,2.946493183
RBMS2,0.42461358
TIMELESS,0.840796846
STAT2,0.791882202
CNPY2,0.592614763
CS,0.334356418
NABP2,0.478416457
MYL6,9.540255579
ESYT1,0.377946883
RPL41,37.82942594
PA2G4,1.184069756
RPS26,10.38507064
PMEL,0.326654577
SARNP,0.932728931
ORMDL2,0.398975455
CD63,12.27135533
INSR,0.641471949
TIMM44,0.340147481
ELAVL1,1.081250836
EFNB2,0.858169341
ARGLU1,1.215687042
COL4A1,4.588121524
COL4A2,2.400120355
RAB20,0.386762827
NAXD,0.492618408
ARHGEF7,0.726404282
LAMP1,3.854034044
GAS6,1.780888854
RASA3,0.553551663
UPF3A,0.679026022
ANGPT2,0.687803809
AGPAT5,0.48937111
VPS36,0.414342098
MRPS31,0.330884853
VDAC3,1.3512745
POLB,0.411659841
IKBKB,0.475887008
PLAT,1.031112765
KAT6A,0.59450497
GOLGA7,1.25524523
TCIM,5.489966902
ADAM9,0.544238897
TM2D2,1.07075913
TACC1,1.269213718
FGFR1,1.163613158
NSD3,1.668372305
LSM1,0.764992927
FNTA,0.388887024
HOOK3,0.771739315
ZFP703,1.916885431
PLPBP,0.512453101
EIF4EBP1,8.629157891
MAK16,0.887123413
PPP2CB,0.645482059
GSR,0.488293106
GTF2E2,0.313019722
RBPMS,4.064701884
DCTN6,0.497340655
SARAF,1.795657098
PRAG1,1.877175591
DLC1,0.919865576
CNOT7,0.719126051
VPS37A,0.349921836
MTUS1,1.333751309
PCM1,0.599265644
ASAH1,0.579703659
FRG1,0.822573898
SORBS2,0.458865641
SLC25A4,2.528545349
CASP3,0.483125447
IRF2,1.48877624
RWDD4A,0.332605963
CDKN2AIP,0.428109751
WWC2,1.196059564
GPM6A,1.127416729
HMGB2,0.633688694
HPF1,0.389854748
CPE,0.322093698
KLHL2,0.395143723
TMA16,0.540623976
NAF1,0.546776613
ATP6V1B2,0.441754462
NDUFA13,1.301722452
GATAD2A,0.992730586
MAU2,0.382673836
NR2C2AP,0.341840007
HOMER3,0.309856942
DDX49,0.303457421
COPE,0.960050829
UPF1,0.386794847
REX1BD,1.069530376
UBA52,1.456481532
FKBP8,1.009606924
ISYNA1,0.342612496
SSBP4,1.035547615
GDF15,2.138657925
LSM4,0.81766954
JUND,8.762099859
CCDC124,0.565329575
RPL18A,33.50720987
USE1,0.47945421
NR2F6,0.352479866
USHBP1,0.302422142
BABAM1,0.347082869
DDA1,0.814882328
PLVAP,9.141908351
BST2,5.161723646
SLC27A1,0.375328734
PGLS,0.949188884
TPM4,1.785676243
RAB8A,0.416385769
FAM32A,0.702245745
KLF2,6.25873351
CHERP,0.325537284
SMIM7,0.783326545
SIN3B,1.816428719
TOM1,0.3447599
HMOX1,10.04130942
RBMXL1,0.896533476
LSM6,0.932430469
SMAD1,1.422134814
OTUD4,0.34848578
ABCE1,0.837752744
SMARCA5,1.673200909
ZFP330,0.843661049
SCOC,0.581752312
NDUFB7,1.482213296
TECR,1.106314757
DNAJB1,0.750545743
DDX39,0.831864488
GM26532,2.36738755
D8ERTD738E,1.910541592
IER2,2.799478344
TRMT1,0.411116597
NFIX,0.851204399
GADD45GIP1,0.425953137
RAD23A,0.519840294
CALR,2.168027897
FARSA,0.666385871
PRDX2,1.553773266
JUNB,15.57642841
ASNA1,0.736678652
TRIR,2.827423368
DHPS,0.363754202
WDR83OS,1.084872433
VPS35,0.930715912
ORC6,0.354339653
4921524J17RIK,0.646103536
DNAJA2,3.414081232
SIAH1A,0.801220418
N4BP1,1.595166188
CNEP1R1,0.36068008
BRD7,0.344985306
CHD9,0.628572065
