Gene,Value
SPTAN1,0.802344038
SET,3.29712175
LRRC8A,1.074047518
SH3GLB2,0.411953517
PTPA,0.357853126
IER5L,0.932220753
NTMT1,0.562059491
ASB6,0.368388595
BC005624,0.989908978
GPR107,0.317783943
ASS1,0.529594802
PRRC2B,0.446670265
SWI5,1.48497972
1110008P14RIK,0.436619944
LCN2,1.165359005
FAM102A,0.596169627
DPM2,0.375983997
ST6GALNAC4,1.451837946
ENG,4.594815337
CDK9,0.827442095
SH2D3C,0.491643965
STXBP1,0.421523935
FAM129B,2.540767739
RPL12,11.9654612
GAPVD1,0.519511237
HSPA5,14.15166265
FBXW2,1.273892023
TRAF1,0.312115518
RAB14,2.148795284
GGTA1,1.192837803
DAB2IP,0.514530973
NDUFA8,1.551101227
RBM18,0.5457917
MRRF,0.707853651
PTGS1,0.60991041
RC3H2,0.377049308
RABGAP1,0.385237182
NEK6,0.468291086
PSMB7,1.055421591
OLFML2A,0.668236538
RPL35,11.34743879
ARPC5L,0.767724722
PPP6C,0.808517485
ORC4,0.345594669
EPC2,0.788394339
NMI,0.692689064
ARL5A,0.322842659
STAM2,0.345143848
FMNL2,0.631265284
PRPF40A,1.246749356
ARL6IP6,0.306123887
ACVR1,0.954930261
PKP4,0.659373333
TANC1,0.890936401
BAZ2B,0.800774445
7-Mar,1.347970863
CD302,0.440198168
RBMS1,4.608111985
PSMD14,0.806248178
IFIH1,0.750777713
PPIG,1.466733525
SSB,3.534643751
UBR3,0.460296839
GORASP2,0.789402148
TLK1,0.494154287
DYNC1I2,0.712590989
HAT1,0.560857265
ITGA6,2.164751641
RAPGEF4,0.408127092
SP3,0.408890121
OLA1,0.3891151
CIR1,0.449571369
ATF2,0.535678107
ATP5G3,2.670842385
MTX2,0.45460483
HNRNPA3,3.610763657
NFE2L2,4.277918917
FKBP7,0.437918827
PLEKHA3,0.880412405
CWC22,0.80981016
UBE2E3,1.188001346
SSFA2,0.45669204
DNAJC10,0.664397358
NCKAP1,1.557916884
ZC3H15,2.234182691
ITGAV,1.110445808
CALCRL,2.452475052
TFPI,0.41558131
CTNND1,0.396265056
SELENOH,0.356107748
MED19,0.306718759
ZDHHC5,0.576866396
TIMM10,1.574669916
SLC43A3,0.740723494
SSRP1,0.879863402
FNBP4,0.584612698
MTCH2,0.949307161
NDUFS3,0.58120745
CELF1,0.760850156
PSMC3,0.938566317
ARFGAP2,0.5674008
CREB3L1,0.310336172
CHST1,0.549911864
TRP53I11,4.031601925
TSPAN18,2.547560661
EXT2,0.456989609
GM13889,0.462079398
HSD17B12,0.616538253
API5,0.698216955
PRR5L,0.420499837
CAPRIN1,1.469136831
LMO2,1.105997489
HIPK3,0.690353352
EIF3M,1.762371761
RCN1,0.684949639
DNAJC24,0.337360296
ARL14EP,0.428214217
LIN7C,0.577881115
NOP10,1.621761231
EMC4,0.753857349
EMC7,1.830401092
AQR,0.304137542
SPRED1,1.407691288
FAM98B,0.324024085
THBS1,2.108284043
SRP14,2.336400716
RMDN3,0.404628432
GCHFR,0.465984283
CHAC1,2.17032623
INO80,0.878009994
1700020I14RIK,0.990164997
RTF1,0.902915434
MGA,0.538889266
EHD4,3.567059081
ZFP106,0.553187611
SNAP23,0.694080576
PDIA3,3.199458178
SERF2,6.389938542
HYPK,0.609051693
MFAP1A,0.306998438
CTDSPL2,0.358863085
EIF3J1,1.079191159
B2M,11.31783012
AA467197,3.821592511
SLC30A4,0.584012631
BLOC1S6,0.349404539
SEMA6D,0.583529423
SLC24A5,0.333565983
MYEF2,0.447391779
EID1,0.656851156
SECISBP2L,0.756317351
COPS2,1.024760073
GABPB1,0.639371715
TRPM7,0.635212369
SPPL2A,0.926399343
SNRNP200,0.343338528
DUSP2,0.916143751
MALL,1.695182485
BCL2L11,1.212593559
SLC20A1,1.710270743
SIRPA,0.306443434
SNRPB,4.963843159
NOP56,1.142886902
IDH3B,0.509587533
PTPRA,0.524780252
DDRGK1,1.478710431
CENPB,1.000848287
PANK2,0.362425227
SMOX,0.32040558
PRNP,0.518206691
CDS2,0.321949326
GPCPD1,0.483552578
CRLS1,0.345599663
TMX4,0.591539388
PLCB1,0.341894079
PLCB4,0.577641443
JAG1,1.320715914
ESF1,1.81762553
SNRPB2,0.62876463
DSTN,4.096363901
RRBP1,2.328052915
SNX5,0.567776972
SEC23B,0.434125693
DTD1,0.399364426
RIN2,0.32591945
NAA20,2.041673143
CRNKL1,0.331230211
XRN2,1.453816604
THBD,2.847071686
CD93,2.816207892
